"名称","住所","現場責任者（建設部）","路線","地名起点","地名終点","業者（名称）","規制原因","規制状況","方向区分","規制開始日時","規制終了日時","報告者（建設部）","路面状況_1","路面状況_2","曜日_1","曜日_2","時間_1","時間_2","車両_1","車両_2","迂回路の有無","迂回路（名称）","備考","経度","緯度","分類"
"一般県道 井関御坊線　広川町上津木(片側交互通行)","","有田建設部","一般県道 井関御坊線","広川町上津木","広川町上津木","木戸組・篠原組","","片側交互通行","上下","2021/04/26 9:00","2021/10/25 17:00","","","","","","終日","","","","無","","","135.210459990272","33.9700752962878","片側規制"
"一般県道 井関御坊線　広川町上津木(片側交互通行)","","有田建設部","一般県道 井関御坊線","広川町上津木","広川町上津木","木戸組・篠原組","","片側交互通行","上下","2021/04/26 9:00","2021/10/25 17:00","","","","","","終日","","","","無","","","135.208679166075","33.9694263460981","片側規制"
"一般国道 480号　有田川町久野原(片側交互通行)","","有田建設部","一般国道 480号","有田川町久野原","有田川町清水","まる陽組、株式会社辻本組、株式会社中屋組","","片側交互通行","上下","2020/12/14","2022/03/31 17:00","","","","","","終日","","","","無","","","135.447196137702","34.0873590314148","片側規制"
"一般国道 480号　有田川町久野原(片側交互通行)","","有田建設部","一般国道 480号","有田川町久野原","有田川町清水","まる陽組、株式会社辻本組、株式会社中屋組","","片側交互通行","上下","2020/12/14","2022/03/31 17:00","","","","","","終日","","","","無","","","135.442893519071","34.0871050325142","片側規制"
"主要地方道 那智勝浦熊野川線　新宮市熊野川町西(時間通行規制)","","新宮建設部","主要地方道 那智勝浦熊野川線","新宮市熊野川町西","新宮市熊野川町西","","","時間通行規制","上下","2021/05/17 9:00","2021/09/30 16:30","","","","日祝除く","","時間規制","9：00～10：30、10：45～12：00、13：00～14：30、14：45～16：30","","","無","","","135.832460559206","33.7568981757478","通行止"
"主要地方道 那智勝浦熊野川線　新宮市熊野川町西(時間通行規制)","","新宮建設部","主要地方道 那智勝浦熊野川線","新宮市熊野川町西","新宮市熊野川町西","","","時間通行規制","上下","2021/05/17 9:00","2021/09/30 16:30","","","","日祝除く","","時間規制","9：00～10：30、10：45～12：00、13：00～14：30、14：45～16：30","","","無","","","135.831248650075","33.7573150927612","通行止"
"一般県道 芳養清川線　みなべ町清川(時間制限通行止(4t超車両終日))","","日高建設部","一般県道 芳養清川線","みなべ町清川","みなべ町清川","株式会社小林建設","","時間制限通行止(4t超車両終日)","上下","2021/05/20","2022/01/16","","","","日曜除く","","時間規制","規制時間9:00-12:00、13:00-15:00、15:15-17:00","","","無","","","135.406813162946","33.842179392728","通行止"
"一般県道 芳養清川線　みなべ町清川(時間制限通行止(4t超車両終日))","","日高建設部","一般県道 芳養清川線","みなべ町清川","みなべ町清川","株式会社小林建設","","時間制限通行止(4t超車両終日)","上下","2021/05/20","2022/01/16","","","","日曜除く","","時間規制","規制時間9:00-12:00、13:00-15:00、15:15-17:00","","","無","","","135.406810986529","33.8428871549209","通行止"
"一般県道 古座川熊野川線　新宮市熊野川町畝畑(通行止)","","","一般県道 古座川熊野川線","新宮市熊野川町畝畑","新宮市熊野川町畝畑","","崩土","通行止","上下","2021/05/21 15:00","未定","新宮建設部","その他","崩土","","","終日","","","","有","古座川町松根方面へ","","135.824198101624","33.7629892239266","通行止"
"一般県道 古座川熊野川線　新宮市熊野川町畝畑(通行止)","","","一般県道 古座川熊野川線","新宮市熊野川町畝畑","新宮市熊野川町畝畑","","崩土","通行止","上下","2021/05/21 15:00","未定","新宮建設部","その他","崩土","","","終日","","","","有","古座川町松根方面へ","","135.81959949749","33.7630891094425","通行止"
