"名称","住所","現場責任者（建設部）","路線","地名起点","地名終点","業者（名称）","規制原因","規制状況","方向区分","規制開始日時","規制終了日時","報告者（建設部）","路面状況_1","路面状況_2","曜日_1","曜日_2","時間_1","時間_2","車両_1","車両_2","迂回路の有無","迂回路（名称）","備考","経度","緯度","分類"
"一般国道 425号　印南町川又(終日全面通行止)","","日高建設部","一般国道 425号","印南町川又","印南町川又","有限会社清水組","","終日全面通行止","上下","2018/06/01 9:00","2018/11/30","","","","","","終日","","","","有","","","135.35629306797","33.8942270903318","通行止"
"一般県道 那賀かつらぎ線　かつらぎ町笠田中(通行止)","","伊都建設部","一般県道 那賀かつらぎ線","かつらぎ町笠田中","かつらぎ町笠田中","大鉄工業株式会社　四郷作業所","","通行止","上下","2018/08/06","2018/08/22","","","","","","夜間","22時～翌5時","緊急車両除く","歩行者、自転車も通行不可","有","町道かつらぎ山手線、町道笠田西部２１号線","※お盆の期間８／１０～８／１６の間は規制を行いません。","135.47284058478","34.2907690626434","通行止"
"一般県道 那賀かつらぎ線　かつらぎ町笠田中(通行止)","","伊都建設部","一般県道 那賀かつらぎ線","かつらぎ町笠田中","かつらぎ町笠田中","大鉄工業株式会社　四郷作業所","","通行止","上下","2018/08/06","2018/08/22","","","","","","夜間","22時～翌5時","緊急車両除く","歩行者、自転車も通行不可","有","町道かつらぎ山手線、町道笠田西部２１号線","※お盆の期間８／１０～８／１６の間は規制を行いません。","135.473299548623","34.2890152848598","通行止"
"一般県道 古座川熊野川線　古座川町下露(時間規制通行止)","","串本建設部","一般県道 古座川熊野川線","古座川町下露","古座川町下露","引地組","","時間規制通行止","上下","2018/08/17 9:00","2018/10/13 17:00","","","","日祝除く","","時間規制","9:00～10:00　10:10～12:00　13:00～14:00　14:10～14:50　15:00～17:00","緊急車両除く","","有","国道３７１号、町道下露平井三河線、町道佐田下露線","","135.698242919903","33.6201539511944","通行止"
"一般県道 古座川熊野川線　古座川町下露(時間規制通行止)","","串本建設部","一般県道 古座川熊野川線","古座川町下露","古座川町下露","引地組","","時間規制通行止","上下","2018/08/17 9:00","2018/10/13 17:00","","","","日祝除く","","時間規制","9:00～10:00　10:10～12:00　13:00～14:00　14:10～14:50　15:00～17:00","緊急車両除く","","有","国道３７１号、町道下露平井三河線、町道佐田下露線","","135.698500906179","33.6205719104318","通行止"
"一般県道 長井古座線　串本町上田原(全面通行止)","","串本建設部","一般県道 長井古座線","串本町上田原","串本町上田原","関戸組","","全面通行止","上下","2018/08/18 9:00","2018/10/12 17:00","","","","","","終日","","","","無","","","135.865175161979","33.5759793164841","通行止"
"一般県道 長井古座線　串本町上田原(全面通行止)","","串本建設部","一般県道 長井古座線","串本町上田原","串本町上田原","関戸組","","全面通行止","上下","2018/08/18 9:00","2018/10/12 17:00","","","","","","終日","","","","無","","","135.864993186202","33.5756693530072","通行止"
"一般県道 生石公園線　有田川町生石(全面通行止)","","有田建設部","一般県道 生石公園線","有田川町生石","有田川町生石","","","全面通行止","上下","2018/08/17 9:00","2019/02/16 17:00","","","","","","終日","","","","無","","","135.314329237197","34.0894377352679","通行止"
"一般県道 生石公園線　有田川町生石(全面通行止)","","有田建設部","一般県道 生石公園線","有田川町生石","有田川町生石","","","全面通行止","上下","2018/08/17 9:00","2019/02/16 17:00","","","","","","終日","","","","無","","","135.320561548563","34.0959050289975","通行止"
"主要地方道 潮岬周遊線　串本町潮岬(片側交互通行)","","","主要地方道 潮岬周遊線","串本町潮岬","串本町潮岬","","災害","片側交互通行","","2018/08/24 4:00","未定","串本建設部","法面崩壊","崩土","","","終日","","","","無","","","135.773197110864","33.4473590544454","片側規制"
"主要地方道 潮岬周遊線　串本町潮岬(片側交互通行)","","","主要地方道 潮岬周遊線","串本町潮岬","串本町潮岬","","災害","片側交互通行","","2018/08/24 4:00","未定","串本建設部","法面崩壊","崩土","","","終日","","","","無","","","135.773600083849","33.447222075958","片側規制"
"一般国道 480号　高野町相ノ浦(全面通行止)","","","一般国道 480号","高野町相ノ浦","かつらぎ町花園中南","","災害","全面通行止","","2018/08/24 7:15","未定","伊都建設部","路肩崩壊","国道480号相浦地内路肩崩壊のため、全面通行止め。","","","終日","","","","有","国道370号→県道花園美里線→国道480号","","135.580692436876","34.1663561635184","通行止"
